t,y
0,101
0,102
0,103
0,-.78139073
0,.47364709
0,-.74521434
0,.72367799
0,1.8074354
0,.83959115
0,.51147503
0,.976816
0,-.98056293
0,1.9902227
0,-.78274614
0,-.53853875
0,-.17181364
0,.78851736
0,.43660769
0,.28024247
0,-.44200015
0,-1.1639342
0,.77960205
0,-1.120594
0,1.1546735
0,.99515724
0,-1.5465233
0,.72907764
0,-.55201268
0,.5065304
0,-.58371139
0,.72919446
0,1.1485193
0,-.23391053
0,1.8510834
0,-.27065381
0,1.8226012
0,2.0679913
0,-1.4821867
0,.49005944
0,.05289704
0,-2.4582705
0,-.040209256
0,1.28477
0,1.6452589
0,-.67086345
0,.82548797
0,.29616031
0,.06852977
0,.27684152
0,-.22492574
0,-.22167656
0,-.36546424
0,2.0647581
0,-1.9537433
0,-1.0697035
0,-.4455846
0,-1.0865076
0,-1.0648131
0,-.68274522
0,-.17789303
0,.7173214
0,-.62407905
0,-.75019616
0,1.490204
0,1.9897308
0,-.019400172
0,.29021484
0,.92431515
0,-.73368639
0,.49359503
0,.087833509
0,-.7137894
0,.77991045
0,.099658363
0,1.1220044
0,1.295948
0,-.46872494
0,.23208816
0,-.047963515
0,-.92021501
0,.83955908
0,-.50259018
0,.21554382
0,-1.113464
0,.61408514
0,.96791381
0,-.1910214
0,.030855015
0,-.60056907
0,.50928438
0,-.36881855
0,-.74006993
0,-.72814882
0,-.67837757
0,.72565258
0,-.59118634
0,.84795493
0,-.37876582
0,-.38549194
0,-.46198401
1,1.5097378
1,.54635227
1,.37505105
1,-1.5872189
1,-1.0423259
1,-.46213737
1,-.086346321
1,.052521631
1,1.3964601
1,.88830191
1,-.77353603
1,1.0758904
1,.56847608
1,2.1182747
1,-.45848623
1,-1.0901439
1,-.099594839
1,2.2986584
1,1.8962264
1,.74492419
1,-.26293734
1,-.32202351
1,1.5528363
1,.23825337
1,.040048078
1,.9052844
1,-.82968831
1,-.88709712
1,.025987314
1,-.44767007
1,.25845528
1,-2.0834596
1,.051317278
1,.22698547
1,-.81825966
1,.97385597
1,-2.3264518
1,.12231883
1,1.4337852
1,1.0730014
1,.62740463
1,2.094629
1,1.5266688
1,-.027389208
1,.75713497
1,-.63415188
1,.32382724
1,1.3743408
1,-.31489408
1,-.27278674
1,1.9467542
1,.9009583
1,.10952387
1,-.31755027
1,1.9976934
1,-1.3781669
1,.19161537
1,1.458295
1,-.020616362
1,-1.2569566
1,.069120996
1,2.9007919
1,-.062079493
1,-.15012531
1,.89738697
1,.81129307
1,-1.6844267
1,-1.3558458
1,.32933891
1,-1.9609853
1,-.14353402
1,.4932408
1,-1.0790027
1,-2.1984556
1,2.5125287
1,.43828744
1,-1.1166667
1,.19327046
1,.89519775
1,-.69414008
1,.98556376
1,.24257691
1,-.76413167
1,-.15589947
1,2.5669601
1,1.079362
1,.2281559
1,-1.8490593
1,-.56878263
1,.4123255
1,-1.5318075
1,-.38908985
1,2.4564824
1,1.072917
1,-.27674335
1,.68386245
1,-.11104359
1,.14605398
1,-1.3928667
1,-1.4885535
